chrom	start	end	hgnc_symbol	hgnc_id	region_type
chr1	2412565	2413564	PEX10	8851	promoter
chr1	2475289	2476288	PLCH2	29037	promoter
chr1	2526597	2527596	PANK4	19366	promoter
chr1	2530264	2531263	HES5	19764	promoter
chr1	2555371	2556370	TNFRSF14	11912	promoter
chr1	2585777	2586776	PRXL2B	28390	promoter
chr1	2633017	2634016	MMEL1	14668	promoter
chr1	2801694	2802693	TTC34	34297	promoter
chr1	3020467	3021466	ACTRT2	24026	promoter
chr1	3068203	3069202	PRDM16	14000	promoter
chr1	3453665	3454664	ARHGEF16	15515	promoter
chr1	3611509	3612508	MEGF6	3232	promoter
chr1	3624015	3625014	TPRG1L	27007	promoter
chr1	3651516	3652515	TP73	12003	promoter
chr1	3650104	3651103	WRAP73	12759	promoter
chr1	3751450	3752449	CCDC27	26546	promoter
chr1	3771749	3772748	SMIM1	44204	promoter
chr1	3796499	3797498	LRRC47	29207	promoter
chr1	3856476	3857475	DFFB	2773	promoter
chr1	3857212	3858211	CEP104	24866	promoter
chr1	3900273	3901272	C1orf174	27915	promoter
chr1	4653609	4654608	AJAP1	30801	promoter
chr1	6044888	6045887	KCNAB2	6229	promoter
chr1	5992426	5993425	NPHP4	19104	promoter
chr1	6180322	6181321	CHD5	16816	promoter
chr1	6205119	6206118	RNF207	32947	promoter
chr1	6199596	6200595	RPL22	10315	promoter
chr1	6235965	6236964	ICMT	5350	promoter
chr1	6243179	6244178	HES3	26226	promoter
chr1	6261099	6262098	GPR153	23618	promoter
chr1	6393768	6394767	ACOT7	24157	promoter
chr1	6419920	6420919	HES2	16005	promoter
chr1	6423776	6424775	ESPN	13281	promoter
chr1	6466174	6467173	TNFRSF25	11910	promoter
chr1	6491668	6492667	PLEKHG5	29105	promoter
chr1	6554514	6555513	NOL9	26265	promoter
chr1	6554307	6555306	TAS1R1	14448	promoter
chr1	6578994	6579993	ZBTB48	4930	promoter
chr1	6612731	6613730	PHF13	22983	promoter
chr1	6602870	6603869	KLHL21	29041	promoter
chr1	6623868	6624867	THAP3	20855	promoter
chr1	6701817	6702816	DNAJC11	25570	promoter
chr1	6784454	6785453	CAMTA1	18806	promoter
chr1	7770296	7771295	VAMP3	12644	promoter
chr1	7783291	7784290	PER3	8847	promoter
chr1	7853066	7854065	UTS2	12636	promoter
chr1	7940840	7941839	TNFRSF9	11924	promoter
chr1	7960711	7961710	PARK7	16369	promoter
chr1	8026310	8027309	ERRFI1	18185	promoter
chr1	8317114	8318113	SLC45A1	17939	promoter
chr1	8817641	8818640	RERE	9965	promoter
chr1	8878687	8879686	ENO1	3350	promoter
chr1	8944868	8945867	CA6	1380	promoter
chr1	9026424	9027423	SLC2A7	13445	promoter
chr1	9069636	9070635	SLC2A5	11010	promoter
chr1	9129103	9130102	GPR157	23687	promoter
chr1	9233774	9234773	H6PD	4795	promoter
chr1	9291894	9292893	SPSB1	30628	promoter
chr1	9538465	9539464	SLC25A33	29681	promoter
chr1	9587911	9588910	TMEM201	33719	promoter
chr1	9650731	9651730	PIK3CD	8977	promoter
chr1	9823966	9824965	CLSTN1	17447	promoter
chr1	9910270	9911269	CTNNBIP1	16913	promoter
chr1	9943392	9944391	LZIC	17497	promoter
chr1	9942475	9943474	NMNAT1	17877	promoter
chr1	9996228	9997227	RBP7	30316	promoter
chr1	10031958	10032957	UBE4B	12500	promoter
chr1	10209570	10210569	KIF1B	16636	promoter
chr1	10398064	10399063	PGD	8891	promoter
chr1	10429433	10430432	CENPS	23163	promoter
chr1	10449031	10450030	CORT	2257	promoter
chr1	10473950	10474949	PEX14	8856	promoter
chr1	10472530	10473529	DFFA	2772	promoter
chr1	10796647	10797646	CASZ1	26002	promoter
chr1	10982077	10983076	C1orf127	26730	promoter
chr1	11011654	11012653	TARDBP	11571	promoter
chr1	11047240	11048239	MASP2	6902	promoter
chr1	11060019	11061018	SRM	11296	promoter
chr1	11099870	11100869	EXOSC10	9138	promoter
chr1	11188355	11189354	ANGPTL7	24078	promoter
chr1	11262552	11263551	MTOR	3942	promoter
chr1	11272198	11273197	UBIAD1	30791	promoter
chr1	11478155	11479154	DISP3	29251	promoter
chr1	11653877	11654876	FBXO44	24847	promoter
chr1	11654430	11655429	FBXO2	13581	promoter
chr1	11663200	11664199	FBXO6	13585	promoter
chr1	11690710	11691709	DRAXIN	25054	promoter
chr1	11681149	11682148	MAD2L2	6764	promoter
chr1	11735136	11736135	AGTRAP	13539	promoter
chr1	11761193	11762192	C1orf167	25262	promoter
chr1	11805191	11806190	CLCN6	2024	promoter
chr1	11805965	11806964	MTHFR	7436	promoter
chr1	11847784	11848783	NPPA	7939	promoter
chr1	11858946	11859945	NPPB	7940	promoter
chr1	11926428	11927427	KIAA2013	28513	promoter
chr1	11933717	11934716	PLOD1	9081	promoter
chr1	11979444	11980443	MFN2	16877	promoter
chr1	12018498	12019497	MIIP	25715	promoter
chr1	12062303	12063302	TNFRSF8	11923	promoter
chr1	12165991	12166990	TNFRSF1B	11917	promoter
chr1	12229030	12230029	VPS13D	23595	promoter
chr1	12618211	12619210	DHRS3	17693	promoter
chr1	12643085	12644084	AADACL4	32038	promoter
chr1	12715110	12716109	AADACL3	32037	promoter
chr1	12745200	12746199	CFAP107	28567	promoter
chr1	12772738	12773737	PRAMEF12	22125	promoter
chr1	12790397	12791396	PRAMEF1	28840	promoter
chr1	12831411	12832410	PRAMEF11	14086	promoter
chr1	12848721	12849720	HNRNPCL1	29295	promoter
chr1	12856086	12857085	PRAMEF2	28841	promoter
chr1	12886202	12887201	PRAMEF4	31971	promoter
chr1	12898271	12899270	PRAMEF10	27997	promoter
chr1	12915610	12916609	PRAMEF7	28415	promoter
chr1	12947581	12948580	PRAMEF6	30583	promoter
chr1	13056576	13057575	PRAMEF27	51234	promoter
chr1	13059769	13060768	HNRNPCL3	51235	promoter
chr1	13069774	13070773	PRAMEF25	49179	promoter
chr1	13116855	13117854	HNRNPCL2	48813	promoter
chr1	13156010	13157009	PRAMEF26	49178	promoter
chr1	13165632	13166631	HNRNPCL4	51333	promoter
chr1	13170848	13171847	PRAMEF9	27996	promoter
chr1	13201410	13202409	PRAMEF13	13262	promoter
chr1	13226155	13227154	PRAMEF18	30693	promoter
chr1	13253198	13254197	PRAMEF5	27995	promoter
chr1	13285138	13286137	PRAMEF8	24074	promoter
chr1	13302539	13303538	PRAMEF33	49193	promoter
chr1	13314581	13315580	PRAMEF15	26764	promoter
chr1	13347135	13348134	PRAMEF14	13576	promoter
chr1	13371948	13372947	PRAMEF19	24908	promoter
chr1	13388632	13389631	PRAMEF17	29485	promoter
chr1	13409450	13410449	PRAMEF20	25224	promoter
chr1	13514004	13515003	LRRC38	27005	promoter
chr1	13582832	13583831	PDPN	29602	promoter
chr1	13699188	13700187	PRDM2	9347	promoter
chr1	14597685	14598684	KAZN	29173	promoter
chr1	15152747	15153746	TMEM51	25488	promoter
chr1	15246223	15247222	FHAD1	29408	promoter
chr1	15408888	15409887	EFHD2	28670	promoter
chr1	15437443	15438442	CTRC	2523	promoter
chr1	15455732	15456731	CELA2A	24609	promoter
chr1	15475104	15476103	CELA2B	29995	promoter
chr1	15524216	15525215	CASP9	1511	promoter
chr1	15525848	15526847	DNAJC16	29157	promoter
chr1	15585052	15586051	AGMAT	18407	promoter
chr1	15616458	15617457	DDI2	24578	promoter
chr1	15658713	15659712	RSC1A1	10458	promoter
chr1	15683320	15684319	PLEKHM2	29131	promoter
chr1	15735258	15736257	SLC25A34	27653	promoter
chr1	15741499	15742498	TMEM82	32350	promoter
chr1	15757795	15758794	FBLIM1	24686	promoter
chr1	15807650	15808649	UQCRHL	51714	promoter
chr1	15846707	15847706	SPEN	17575	promoter
chr1	15976102	15977101	ZBTB17	12936	promoter
chr1	16003236	16004235	SRARP	28339	promoter
chr1	16021036	16022035	CLCNKA	2026	promoter
chr1	16018044	16019043	HSPB7	5249	promoter
chr1	16042782	16043781	CLCNKB	2027	promoter
chr1	16073652	16074651	FAM131C	26717	promoter
chr1	16156070	16157069	EPHA2	3386	promoter
chr1	16212653	16213652	ARHGEF19	26604	promoter
chr1	16237184	16238183	CPLANE2	28127	promoter
chr1	16352481	16353480	FBXO42	29249	promoter
chr1	16366242	16367241	SZRD1	30232	promoter
chr1	16437425	16438424	SPATA21	28026	promoter
chr1	16439724	16440723	NECAP2	25528	promoter
chr1	16613488	16614487	NBPF1	26088	promoter
chr1	16920931	16921930	CROCC	21299	promoter
chr1	16980621	16981620	MFAP2	7033	promoter
chr1	17011929	17012928	ATP13A2	30213	promoter
chr1	17054033	17055032	SDHB	10681	promoter
chr1	17119452	17120451	PADI2	18341	promoter
chr1	17204128	17205127	PADI1	18367	promoter
chr1	17248098	17249097	PADI3	18337	promoter
chr1	17307197	17308196	PADI4	18368	promoter
chr1	17371196	17372195	PADI6	20449	promoter
chr1	17439678	17440677	RCC2	30297	promoter
chr1	17538698	17539697	ARHGEF10L	25540	promoter
chr1	17754333	17755332	ACTL8	24018	promoter
chr1	18106798	18107797	IGSF21	28246	promoter
chr1	18479930	18480929	KLHDC7A	26791	promoter
chr1	18629846	18630845	PAX7	8621	promoter
chr1	18859661	18860660	TAS1R2	14905	promoter
chr1	18902556	18903555	ALDH4A1	406	promoter
chr1	18956677	18957676	IFFO2	27006	promoter
chr1	19210267	19211266	UBR4	30313	promoter
chr1	19251525	19252524	EMC1	28957	promoter
chr1	19250805	19251804	MRTO4	18477	promoter
chr1	19274195	19275194	AKR7L	24056	promoter
chr1	19288771	19289770	AKR7A3	390	promoter
chr1	19312145	19313144	AKR7A2	389	promoter
chr1	19311326	19312325	SLC66A1	26001	promoter
chr1	19595979	19596978	MICOS10	32068	promoter
chr1	19485540	19486539	CAPZB	1491	promoter
chr1	19643311	19644310	NBL1	7650	promoter
chr1	19663875	19664874	HTR6	5301	promoter
chr1	19799917	19800916	TMCO4	27393	promoter
chr1	19815284	19816283	RNF186	25978	promoter
chr1	19881395	19882394	OTUD3	29038	promoter
chr1	19923618	19924617	PLA2G2E	13414	promoter
chr1	19979619	19980618	PLA2G2A	9031	promoter
chr1	20069194	20070193	PLA2G5	9038	promoter
chr1	20119537	20120536	PLA2G2D	9033	promoter
chr1	20138323	20139322	PLA2G2F	30040	promoter
chr1	20185096	20186095	UBXN10	26354	promoter
chr1	20186519	20187518	PLA2G2C	9032	promoter
chr1	20289875	20290874	VWA5B1	26538	promoter
chr1	20486211	20487210	CAMK2N1	24190	promoter
chr1	20508152	20509151	MUL1	25762	promoter
chr1	20551573	20552572	FAM43B	31791	promoter
chr1	20588097	20589096	CDA	1712	promoter
chr1	20632458	20633457	PINK1	14581	promoter
chr1	20661370	20662369	DDOST	2728	promoter
chr1	20718008	20719007	KIF17	19167	promoter
chr1	20732704	20733703	SH2D5	28819	promoter
chr1	20787308	20788307	HP1BP3	24973	promoter
chr1	21176898	21177897	EIF4G3	3298	promoter
chr1	21290464	21291463	ECE1	3146	promoter
chr1	21439137	21440136	NBPF3	25076	promoter
chr1	21508423	21509422	ALPL	438	promoter
chr1	21669358	21670357	RAP1GAP	9858	promoter
chr1	21783150	21784149	USP48	18533	promoter
chr1	21811265	21812264	LDLRAD2	32071	promoter
chr1	21937311	21938310	HSPG2	5273	promoter
chr1	21976022	21977021	CELA3B	15945	promoter
chr1	22000657	22001656	CELA3A	15944	promoter
chr1	22051709	22052708	CDC42	1736	promoter
chr1	22143098	22144097	WNT4	12783	promoter
chr1	22450851	22451850	ZBTB40	29045	promoter
chr1	22562489	22563488	EPHA8	3391	promoter
chr1	22635628	22636627	C1QA	1241	promoter
chr1	22642633	22643632	C1QC	1245	promoter
chr1	22652236	22653235	C1QB	1242	promoter
chr1	22709839	22710838	EPHB2	3393	promoter
chr1	22972867	22973866	LACTBL1	35445	promoter
chr1	23015853	23016852	TEX46	44651	promoter
chr1	23018468	23019467	KDM1A	29079	promoter
chr1	23168857	23169856	LUZP1	14985	promoter
chr1	23217503	23218502	HTR1D	5289	promoter
chr1	23344285	23345284	HNRNPR	5047	promoter
chr1	23369837	23370836	ZNF436	20814	promoter
chr1	23424749	23425748	TCEA3	11615	promoter
chr1	23484180	23485179	ASAP3	14987	promoter
chr1	23531234	23532233	E2F2	3114	promoter
chr1	23559502	23560501	ID3	5362	promoter
chr1	23690806	23691805	RPL11	10301	promoter
chr1	23742471	23743470	ELOA	11620	promoter
chr1	23777418	23778417	PITHD1	25022	promoter
chr1	23790145	23791144	LYPLA2	6738	promoter
chr1	23800755	23801754	GALE	4116	promoter
chr1	23825430	23826429	HMGCL	5005	promoter
chr1	23868291	23869290	FUCA1	4006	promoter
chr1	23913363	23914362	CNR2	2160	promoter
chr1	23958828	23959827	PNRC2	23158	promoter
chr1	23980328	23981327	SRSF10	16713	promoter
chr1	24112136	24113135	MYOM3	26679	promoter
chr1	24143141	24144140	IL22RA1	13700	promoter
chr1	24187290	24188289	IFNLR1	18584	promoter
chr1	24318357	24319356	GRHL3	25839	promoter
chr1	24414802	24415801	NIPAL3	25233	promoter
chr1	24413783	24414782	STPG1	28070	promoter
chr1	24501836	24502835	RCAN3	3042	promoter
chr1	24555087	24556086	NCMAP	29332	promoter
chr1	24642302	24643301	SRRM1	16638	promoter
chr1	24744447	24745446	CLIC4	13518	promoter
chr1	24930277	24931276	RUNX3	10473	promoter
chr1	25232503	25233502	SYF2	19824	promoter
chr1	25271509	25272508	RHD	10009	promoter
chr1	25247455	25248454	RSRP1	25234	promoter
chr1	25337334	25338333	TMEM50A	30590	promoter
chr1	25420826	25421825	RHCE	10008	promoter
chr1	25429897	25430896	MACO1	25572	promoter
chr1	25542606	25543605	LDLRAP1	18640	promoter
chr1	25615791	25616790	MAN1C1	19080	promoter
chr1	25799193	25800192	SELENON	15999	promoter
chr1	25818954	25819953	MTFR1L	28836	promoter
chr1	25859458	25860457	AUNIP	28363	promoter
chr1	25875709	25876708	PAQR7	23146	promoter
chr1	25906420	25907419	STMN1	6510	promoter
chr1	25998064	25999063	PAFAH2	8579	promoter
chr1	26020775	26021774	EXTL1	3515	promoter
chr1	26046119	26047118	SLC30A2	11013	promoter
chr1	26067631	26068630	TRIM63	16007	promoter
chr1	26110824	26111823	PDIK1L	18981	promoter
chr1	26158079	26159078	FAM110D	25860	promoter
chr1	26168964	26169963	C1orf232	53426	promoter
chr1	26168908	26169907	ZNF593	30943	promoter
chr1	26171833	26172832	ZNF593OS	41278	promoter
chr1	26176491	26177490	CNKSR1	19700	promoter
chr1	26189602	26190601	CATSPER4	23220	promoter
chr1	26233200	26234199	CEP85	25309	promoter
chr1	26279086	26280085	SH3BGRL3	15568	promoter
chr1	26316958	26317957	CD52	1804	promoter
chr1	26306637	26307636	UBXN11	30600	promoter
chr1	26354131	26355130	CRYBG2	17295	promoter
chr1	26372751	26373750	ZNF683	28495	promoter
chr1	26409817	26410816	LIN28A	15986	promoter
chr1	26431321	26432320	DHDDS	20603	promoter
chr1	26471440	26472439	HMGN2	4986	promoter
chr1	26528761	26529760	RPS6KA1	10430	promoter
chr1	26695015	26696014	ARID1A	11110	promoter
chr1	26786950	26787949	PIGV	26031	promoter
chr1	26825688	26826687	ZDHHC18	20712	promoter
chr1	26862149	26863148	SFN	10773	promoter
chr1	26890284	26891283	GPN2	25513	promoter
chr1	26920743	26921742	NUDC	8045	promoter
chr1	26900468	26901467	GPATCH3	25720	promoter
chr1	26913976	26914975	NR0B2	7961	promoter
chr1	26960469	26961468	KDF1	26624	promoter
chr1	26992692	26993691	TRNP1	34348	promoter
chr1	27012851	27013850	TENT5B	28273	promoter
chr1	27155126	27156125	SLC9A1	11071	promoter
chr1	27233632	27234631	WDTC1	29175	promoter
chr1	27321163	27322162	TMEM222	25363	promoter
chr1	27341022	27342021	SYTL1	15584	promoter
chr1	27366962	27367961	MAP3K6	6858	promoter
chr1	27374825	27375824	FCN3	3625	promoter
chr1	27383334	27384333	CD164L2	32043	promoter
chr1	27391622	27392621	GPR3	4484	promoter
chr1	27490168	27491167	WASF2	12733	promoter
chr1	27604145	27605144	AHDC1	25230	promoter
chr1	27635186	27636185	FGR	3697	promoter
chr1	27672193	27673192	IFI6	4054	promoter
chr1	27724961	27725960	FAM76A	28530	promoter
chr1	27772219	27773218	STX12	11430	promoter
chr1	27829782	27830781	PPP1R8	9296	promoter
chr1	27871544	27872543	THEMIS2	16839	promoter
chr1	27914576	27915575	RPA2	10290	promoter
chr1	27934000	27934999	SMPDL3B	21416	promoter
chr1	27958973	27959972	XKR8	25508	promoter
chr1	28088611	28089610	EYA3	3521	promoter
chr1	28176691	28177690	PTAFR	9582	promoter
chr1	28233030	28234029	DNAJC8	15470	promoter
chr1	28235124	28236123	ATP5IF1	871	promoter
chr1	28258518	28259517	SESN2	20746	promoter
chr1	28328040	28329039	MED18	25944	promoter
chr1	28368740	28369739	PHACTR4	25793	promoter
chr1	28505043	28506042	RCC1	1913	promoter
chr1	28552085	28553084	TRNAU1AP	30813	promoter
chr1	28591265	28592264	RAB42	28702	promoter
chr1	28643068	28644067	TAF12	11545	promoter
chr1	28667784	28668783	GMEB1	4370	promoter
chr1	28735940	28736939	YTHDF2	31675	promoter
chr1	28811170	28812169	OPRD1	8153	promoter
chr1	28913569	28914568	EPB41	3377	promoter
chr1	29123904	29124903	TMEM200B	33785	promoter
chr1	29181901	29182900	SRSF4	10786	promoter
chr1	29230935	29231934	MECR	19691	promoter
chr1	29235522	29236521	PTPRU	9683	promoter
chr1	30723586	30724585	MATN1	6907	promoter
chr1	30757775	30758774	LAPTM5	29612	promoter
chr1	30908759	30909758	SDC3	10660	promoter
chr1	31065718	31066717	PUM1	14957	promoter
chr1	31239888	31240887	NKAIN1	25743	promoter
chr1	31296789	31297788	SNRNP40	30857	promoter
chr1	31296032	31297031	ZCCHC17	30246	promoter
chr1	31373077	31374076	FABP3	3557	promoter
chr1	31412213	31413212	SERINC2	23231	promoter
chr1	31575515	31576514	TINAGL1	19168	promoter
chr1	31616689	31617688	HCRTR1	4848	promoter
chr1	31644877	31645876	PEF1	30009	promoter
chr1	31704018	31705017	COL16A1	2193	promoter
chr1	31764341	31765340	ADGRB2	944	promoter
chr1	31816023	31817022	SPOCD1	26338	promoter
chr1	31938369	31939368	PTP4A2	9635	promoter
chr1	32012868	32013867	KHDRBS1	18116	promoter
chr1	32071939	32072938	TMEM39B	25510	promoter
chr1	32107056	32108055	KPNA6	6399	promoter
chr1	32178675	32179674	TXLNA	30685	promoter
chr1	32199595	32200594	CCDC28B	28163	promoter
chr1	32204671	32205670	IQCC	25545	promoter
chr1	32208089	32209088	DCDC2B	32576	promoter
chr1	32221407	32222406	EIF3I	3272	promoter
chr1	32222354	32223353	TMEM234	28837	promoter
chr1	32246222	32247221	FAM167B	28133	promoter
chr1	32250265	32251264	LCK	6524	promoter
chr1	32291083	32292082	HDAC1	4852	promoter
chr1	32336234	32337233	MARCKSL1	7142	promoter
chr1	32361539	32362538	TSSK3	15473	promoter
chr1	32362486	32363485	FAM229A	44652	promoter
chr1	32394442	32395441	BSDC1	25501	promoter
chr1	32464072	32465071	ZBTB8B	37057	promoter
chr1	32538427	32539426	ZBTB8A	24172	promoter
chr1	32650551	32651550	ZBTB8OS	24094	promoter
chr1	32650208	32651207	RBBP4	9887	promoter
chr1	32702771	32703770	SYNC	28897	promoter
chr1	32740830	32741829	NHSL3	29301	promoter
chr1	32816653	32817652	S100PBP	25768	promoter
chr1	32817359	32818358	YARS1	12840	promoter
chr1	32870913	32871912	FNDC5	20240	promoter
chr1	32885491	32886490	HPCA	5144	promoter
chr1	32901390	32902389	TMEM54	24143	promoter
chr1	32964810	32965809	RNF19B	26886	promoter
chr1	33036884	33037883	AK2	362	promoter
chr1	33080153	33081152	AZIN2	29957	promoter
chr1	33182044	33183043	TRIM62	25574	promoter
chr1	33255492	33256491	ZNF362	18079	promoter
chr1	33321099	33322098	A3GALT2	30005	promoter
chr1	33431096	33432095	PHC2	3183	promoter
chr1	33471645	33472644	ZSCAN20	13093	promoter
chr1	33863079	33864078	HMGB4	24954	promoter
chr1	34165231	34166230	CSMD2	19290	promoter
chr1	34175907	34176906	C1orf94	28250	promoter
chr1	34754047	34755046	GJB5	4287	promoter
chr1	34758740	34759739	GJB4	4286	promoter
chr1	34780214	34781213	GJB3	4285	promoter
chr1	34791999	34792998	GJA4	4278	promoter
chr1	34859750	34860749	SMIM12	25154	promoter
chr1	34929651	34930650	DLGAP3	30368	promoter
chr1	34985348	34986347	TMEM35B	40021	promoter
chr1	35031946	35032945	ZMYM6	13050	promoter
chr1	35078385	35079384	ZMYM1	26253	promoter
chr1	35193146	35194145	SFPQ	10774	promoter
chr1	35267709	35268708	ZMYM4	13055	promoter
chr1	35556799	35557798	NCDN	17597	promoter
chr1	35557404	35558403	KIAA0319L	30071	promoter
chr1	35572314	35573313	TFAP2E	30774	promoter
chr1	35641527	35642526	PSMB2	9539	promoter
chr1	35718885	35719884	C1orf216	26800	promoter
chr1	35769979	35770978	CLSPN	19715	promoter
chr1	35807016	35808015	AGO4	18424	promoter
chr1	35882209	35883208	AGO1	3262	promoter
chr1	35930105	35931104	AGO3	18421	promoter
chr1	36083094	36084093	TEKT2	11725	promoter
chr1	36087892	36088891	ADPRS	21304	promoter
chr1	36125223	36126222	COL8A2	2216	promoter
chr1	36155160	36156159	MAP7D1	25514	promoter
chr1	36149487	36150486	TRAPPC3	19942	promoter
chr1	36223443	36224442	THRAP3	22964	promoter
chr1	36305368	36306367	SH3D21	26236	promoter
chr1	36323646	36324645	EVA1B	25558	promoter
chr1	36385925	36386924	STK40	21373	promoter
chr1	36397909	36398908	LSM10	17562	promoter
chr1	36450452	36451451	OSCP1	29971	promoter
chr1	36464385	36465384	MRPS15	14504	promoter
chr1	36482914	36483913	CSF3R	2439	promoter
chr1	37034516	37035515	GRIK3	4581	promoter
chr1	37473580	37474579	ZC3H12A	26259	promoter
chr1	37514767	37515766	MEAF6	25674	promoter
chr1	37554294	37555293	SNIP1	30587	promoter
chr1	37555940	37556939	DNALI1	14353	promoter
chr1	37595938	37596937	GNL2	29925	promoter
chr1	37634893	37635892	RSPO1	21679	promoter
chr1	37690530	37691529	AIRIM	26039	promoter
chr1	37691516	37692515	CDCA8	14629	promoter
chr1	37765121	37766120	EPHA10	19987	promoter
chr1	37792847	37793846	MANEAL	26452	promoter
chr1	37806790	37807789	C1orf122	24789	promoter
chr1	37808209	37809208	YRDC	28905	promoter
chr1	37859593	37860592	MTF1	7428	promoter
chr1	37947054	37948053	INPP5B	6077	promoter
chr1	37990023	37991022	SF3A3	10767	promoter
chr1	38005515	38006514	FHL3	3704	promoter
chr1	38011734	38012733	UTP11	24329	promoter
chr1	38046794	38047793	POU3F1	9214	promoter
chr1	38859773	38860772	RRAGC	19902	promoter
chr1	38873349	38874348	MYCBP	7554	promoter
chr1	38881588	38882587	GJA9	19155	promoter
chr1	38941831	38942830	RHBDL2	16083	promoter
chr1	38990276	38991275	AKIRIN1	25744	promoter
chr1	39025350	39026349	NDUFS5	7712	promoter
chr1	39203695	39204694	MACF1	13664	promoter
chr1	39490636	39491635	BMP8A	21650	promoter
chr1	39576791	39577790	PABPC4	8557	promoter
chr1	39639644	39640643	HEYL	4882	promoter
chr1	39672108	39673107	NT5C1A	17819	promoter
chr1	39691434	39692433	HPCAL4	18212	promoter
chr1	39737882	39738881	PPIE	9258	promoter
chr1	39771349	39772348	OXCT2	18606	promoter
chr1	39788866	39789865	BMP8B	1075	promoter
chr1	39883505	39884504	TRIT1	20286	promoter
chr1	39901918	39902917	MYCL	7555	promoter
chr1	39954145	39955144	MFSD2A	25897	promoter
chr1	40039729	40040728	CAP1	20040	promoter
chr1	40097253	40098252	PPT1	9325	promoter
chr1	40160387	40161386	RLF	10025	promoter
chr1	40246937	40247936	TMCO2	23312	promoter
chr1	40257236	40258235	ZMPSTE24	12877	promoter
chr1	40317287	40318286	COL9A2	2218	promoter
chr1	40372727	40373726	SMAP2	25082	promoter
chr1	40449476	40450475	ZFP69B	28053	promoter
chr1	40476290	40477289	ZFP69	24708	promoter
chr1	40507767	40508766	EXO5	26115	promoter
chr1	40530637	40531636	ZNF684	28418	promoter
